barcode,name,brand,category,price,promo_price,in_stock,product_url,image_url
5056000505910,Kendamil Classic First Infant Milk 800g,Kendamil,Baby & Toddler / Formula Milk,11.90,,true,https://pharmacy.asda.com/medicines/kendamil-classic-first-infant-milk,
5056000502926,Kendamil Organic First Infant Milk 800g,Kendamil,Baby & Toddler / Formula Milk,14.90,,true,https://pharmacy.asda.com/medicines/kendamil-organic-first-infant-milk,
5060107330276,Ella's Kitchen Apples Plus Bananas 120G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.18,,true,https://www.pricerunner.com/pl/620-3203181047/Food-Drinks/Ella-s-Kitchen-Ella-s-Kitchen-Apples-Bananas-Stage-120g-Compare-Prices,
5060107330368,Ella's Kitchen Strawberries Plus Apples 120G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.18,,true,https://www.grocefully.com/uk/product/ellas-kitchen-organic-strawberries-and-apples-baby-food-pou-5060107330368,
5000157079961,"Heinz Apple, Pear & Banana Fruit Puree Pouch Baby Food 100g",Heinz,Baby & Toddler / Fruit Puree,1.15,,true,https://www.grocefully.com/uk/product/asda/heinz-apple-pear-and-banana-fruit-pouch-baby-food-6-months-5000157079961,
5060503500808,"Ella's Kitchen Strawberries, Rhubarb & Apples 120G",Ella's Kitchen,Baby & Toddler / Fruit Puree,1.18,,true,https://www.grocefully.com/uk/product/ellas-kitchen-organic-strawberries-rhubarb-and-apples-baby-5060503500808,
5056000505132,Kendamil Banana Porridge 150G,Kendamil,Baby & Toddler / Porridge,2.51,,true,https://www.grocefully.com/uk/product/asda/kendamil-banana-porridge-4-6-months-150g-5056000505132,
3041091431790,Cow & Gate Banana Wholegrain Porridge Baby Cereal 200G,Cow & Gate,Baby & Toddler / Porridge,2.75,,true,https://www.grocefully.com/uk/product/asda/cow-and-gate-banana-wholegrain-porridge-baby-cereal-7-months-3041091431790,
5051594006812,Aptamil 1 First Baby Milk Formula Powder from Birth 800g,Aptamil,Baby & Toddler / Formula Milk,12.78,,true,https://www.grocefully.com/uk/product/aptamil-1-first-baby-milk-formula-powder-from-birth-5051594006812,
5051594006874,Cow & Gate 1 First Infant Baby Milk Formula Powder from Birth 800g,Cow & Gate,Baby & Toddler / Formula Milk,9.28,,true,https://www.grocefully.com/uk/product/cow-and-gate-1-first-infant-baby-milk-formula-powder-from-birt-5051594006874,
5060503502673,Ella's Kitchen 7 Month Plus Veggie Biryani 130G,Ella's Kitchen,Baby & Toddler / Baby Meals,1.48,,true,https://www.grocefully.com/uk/product/ellas-kitchen-organic-veggie-biryani-baby-food-pouch-7-mon-5060503502673,
5060107337879,Ella's Kitchen Cottage Pie 130G,Ella's Kitchen,Baby & Toddler / Baby Meals,1.48,,true,https://www.grocefully.com/uk/product/ocado/ellas-kitchen-beef-cottage-pie-baby-food-pouch-7-months-5060107337879,
5000157079787,Heinz Sunday Chicken Dinner Baby Food Pouch 130g,Heinz,Baby & Toddler / Baby Meals,1.25,,true,https://www.grocefully.com/product/asda/heinz-sunday-chicken-dinner-baby-food-pouch-7-months-5000157079787,
5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler / Baby Meals,1.67,,true,https://www.grocefully.com/uk/product/asda/heinz-spaghetti-bolognese-baby-food-pouch-10-months-5000157079800,
5000157079893,Heinz Sweet & Sour Chicken Baby Food Pouch 180g,Heinz,Baby & Toddler / Baby Meals,1.67,,true,https://www.grocefully.com/uk/product/ocado/heinz-sweet-and-sour-chicken-baby-food-pouch-10-months-5000157079893,
5000157079794,Heinz Thai Chicken Curry Baby Food Pouch 180g,Heinz,Baby & Toddler / Baby Meals,1.67,,true,https://www.grocefully.com/uk/product/ocado/heinz-thai-chicken-curry-pouch-baby-food-10-months-5000157079794,
